Final Rank	School Name	State	Graduation and Retention Rank	Average Freshman Retention Rate	Predicted 6-year Graduation Rate	Actual 6-year Graduation Rate	Difference Between Actual and Predicted Graduation Rates	Faculty Resources Rank	Percent of Classes with Less Than 20 Students	Percent of Classes with 50 or More Students	Student/Faculty Ratio	Percent of Full-time Equivalent Faculty that are Full-time	Selectivity Rank	SAT/ACT 25th-75th Percentile	Entering Freshman in Top 10% of High School Class	Acceptance Rate	Financial Resources Rank	Alumni Giving Rank	Average Alumni Giving Rate
1	!Amherst College!	(MA)	1	0.97	0.89	0.96	7	21	0.64	0.06	8/1	0.95	4	1300-1510	0.84	0.19	13	1	0.66
1	!Swarthmore College!	(PA)	3	0.96	0.91	0.92	1	5	0.71	0.01	8/1	0.92	2	1340-1530	0.88	0.24	2	5	0.57
3	!Williams College!	(MA)	2	0.97	0.92	0.95	3	19	0.63	0.06	9/1	0.97	1	1310-1510	0.89	0.24	7	4	0.6
9	!Middlebury College!	(VT)	10	0.95	0.84	0.87	3	31	0.71	0.06	11/1	0.99	8	1350-1470	0.73	0.25	4	36	0.46
11	!Wesleyan University!	(CT)	14	0.95	0.85	0.88	3	48	0.65	0.06	10/1	0.96	13	1260-1450	0.68	0.27	17	27	0.48
17	!Claremont McKenna College!	(CA)	17	0.93	0.87	0.86	-1	67	0.6	0.02	9/1	0.96	6	1310-1490	0.83	0.28	12	16	0.5
5	!Bowdoin College!	(ME)	7	0.94	0.87	0.9	3	77	0.61	0.07	10/1	0.92	9	1290-1430	0.75	0.28	8	6	0.57
24	!Trinity College!	(CT)	24	0.91	0.77	0.84	7	43	0.72	0.04	10/1	0.88	40	1180-1360	0.48	0.29	9	13	0.51
22	!Bates College!	(ME)	20	0.93	0.84	0.84	0	76	0.61	0.05	10/1	0.96	19	1250-1410	0.54	0.29	27	12	0.52
5	!Pomona College!	(CA)	8	0.98	0.91	0.86	-5	8	0.8	0.01	9/1	0.93	5	1360-1510	0.83	0.3	6	33	0.47
5	!Haverford College!	(PA)	6	0.95	0.88	0.92	4	28	0.73	0.04	9/1	0.96	7	1260-1450	0.83	0.32	21	20	0.5
26	!Connecticut College!		31	0.92	0.78	0.81	3	53	0.65	0.03	11/1	0.95	24	1216-1377	0.51	0.32	19	25	0.49
13	!Washington and Lee University!	(VA)	16	0.94	0.87	0.88	1	1	0.65	0.004	9/1	0.98	10	1270-1430	0.74	0.35	30	8	0.54
14	!Vassar College!	(NY)	17	0.93	0.83	0.87	4	25	0.67	0.01	9/1	0.93	16	1270-1430	0.63	0.35	22	55	0.42
14	!Harvey Mudd College!	(CA)	29	0.94	0.94	0.83	-11	61	0.6	0.06	9/1	0.98	3	1410-1550	0.94	0.35	10	51	0.43
10	!Davidson College!	(NC)	5	0.96	0.85	0.91	6	24	0.58	0	11/1	0.98	12	1240-1420	0.75	0.36	28	9	0.53
20	!Colby College!	(ME)	15	0.92	0.81	0.88	7	59	0.56	0.03	10/1	0.92	17	1250-1390	0.64	0.37	35	22	0.5
28	!Barnard College!	(NY)	26	0.94	0.81	0.84	3	122	0.69	0.09	11/1	0.82	11	1230-1410	0.78	0.37	60	68	0.39
40	!Sarah Lawrence College!	(NY)	87	0.9	0.76	0.78	2	11	0.93	0.01	6/1	0.93	41	1150-1340	0.46	0.38	45	80	0.37
17	!Colgate University!	(NY)	11	0.94	0.8	0.89	9	35	0.57	0.01	11/1	0.96	22	1250-1390	0.58	0.38	37	38	0.46
20	!Hamilton College!	(NY)	19	0.92	0.75	0.82	7	17	0.67	0.03	10/1	0.95	31	1160-1340	0.55	0.39	31	10	0.53
33	!Lafayette College!	(PA)	23	0.92	0.72	0.81	9	49	0.59	0.02	11/1	0.94	33	1150-1330	0.55	0.4	43	90	0.36
32	!College of the Holy Cross!	(MA)	4	0.96	0.79	0.9	11	113	0.48	0.002	12/1	0.94	25	1150-1320	0.59	0.41	55	34	0.46
28	!Bucknell University!	(PA)	13	0.94	0.79	0.87	8	98	0.54	0.03	12/1	0.97	26	1200-1340	0.58	0.42	57	66	0.39
4	!Wellesley College!	(MA)	12	0.95	0.86	0.9	4	16	0.64	0.02	9/1	0.87	14	1270-1440	0.67	0.43	1	37	0.46
22	!Oberlin College!	(OH)	42	0.89	0.82	0.79	-3	30	0.67	0.04	9/1	0.94	18	1239-1430	0.65	0.43	52	52	0.43
42	!Skidmore College!	(NY)	53	0.9	0.67	0.75	8	58	0.67	0.02	11/1	0.98	86	1140-1310	0.29	0.43	36	61	0.41
5	!Carleton College!	(MN)	8	0.94	0.87	0.89	2	7	0.66	0.01	10/1	0.95	15	1280-1470	0.68	0.44	23	3	0.61
36	!Union College!	(NY)	22	0.93	0.76	0.84	8	46	0.59	0.02	11/1	0.97	45	1130-1300	0.5	0.47	54	40	0.45
38	!Bard College!	(NY)	98	0.84	0.81	0.67	-14	2	0.85	0.002	9/1	0.78	29	1170-1370	0.6	0.48	26	31	0.48
38	!Whitman College!	(WA)	47	0.92	0.79	0.71	-8	14	0.73	0.005	11/1	0.87	21	1220-1400	0.63	0.5	72	26	0.49
26	!Macalester College!	(MN)	40	0.9	0.83	0.77	-6	27	0.74	0.01	10/1	0.88	30	1240-1430	0.67	0.53	34	70	0.38
14	!Smith College!	(MA)	30	0.89	0.8	0.81	1	18	0.68	0.05	10/1	0.98	27	1150-1378	0.59	0.53	15	28	0.48
24	!Mount Holyoke College!	(MA)	33	0.92	0.76	0.79	3	44	0.64	0.05	10/1	0.93	35	1170-1360	0.54	0.55	20	18	0.5
