Final Rank	School Name	Graduation and Retention Rank	Average Freshman Retention Rate	Predicted 6-year Graduation Rate	Actual 6-year Graduation Rate	Difference Between Actual and Predicted Graduation Rates	Faculty Resources Rank	Percent of Classes with Less Than 20 Students	Percent of Classes with 50 or More Students	Student/Faculty Ratio	Percent of Full-time Equivalent Faculty that are Full-time	Selectivity Rank	SAT/ACT 25th-75th Percentile	Entering Freshman in Top 10% of High School Class	Acceptance Rate	Financial Resources Rank	Alumni Giving Rank	Average Alumni Giving Rate
1	Amherst College	1	97%	89%	94%	5	8	68%	5%	8/1	95%	2	1320-1510	83%	19%	16	1	56%
2	Swarthmore College	3	96%	92%	92%		5	72%	2%	8/1	94%	1	1360-1530	88%	26%	2	6	61%
2	Williams College	2	97%	91%	93%	2	14	64%	6%	8/1	97%	3	1310-1510	82%	24%	5	4	53%
4	Wellesley College	7	95%	88%	90%	2	20	61%	2%	9/1	88%	15	1250-1440	65%	43%	1	8	64%
5	Carleton College	9	95%	88%	89%	1	10	62%	1%	10/1	93%	14	1280-1460	68%	37%	21	1	47%
5	Pomona College	9	99%	89%	90%	1	13	78%	1%	9/1	90%	5	1360-1520	84%	29%	5	30	57%
7	Bowdoin College	7	94%	88%	89%	1	66	62%	6%	10/1	93%	6	1280-1440	79%	24%	7	5	49%
7	Middlebury College	9	96%	85%	88%	3	29	71%	6%	11/1	97%	7	1340-1470	72%	23%	3	24	53%
9	Davidson College	5	96%	87%	90%	3	1	71%	0.20%	11/1	98%	13	1235-1410	75%	35%	27	9	49%
10	Haverford College	5	96%	90%	92%	2	26	72%	5%	9/1	98%	7	1280-1450	81%	33%	19	24	48%
11	Wesleyan University	9	96%	86%	90%	4	48	64%	6%	9/1	98%	11	1270-1460	72%	26%	19	29	49%
12	Grinnell College	21	92%	84%	84%		6	66%	1%	10/1	99%	27	1250-1440	63%	65%	10	22	50%
13	Claremont McKenna College	18	94%	88%	86%	-2	33	68%	1%	9/1	96%	7	1310-1480	81%	29%	13	18	46%
