Williams, 1, 100, 92, 4, 1420.000, 91, 17, 3, 71,  4.00, 7, 93, 1, 97, 6, 3, 58
Amherst, 2, 98, 92, 5, 1425.000, 84, 13, 7, 70,  2.00, 9, 94, 1, 98, 10, 4, 57
Swarthmore, 3, 96, 91, 6, 1440.000, 84, 15, 7, 74,  2.00, 8, 93, 4, 97, 9, 13, 46
Middlebury, 4, 94, 87, 6, 1385.000, 86, 18, 17, 68,  1.00, 9, 94, 11, 96, 3, 5, 55
Pomona, 4, 94, 87, 2, 1460.000, 90, 14, 20, 70,  1.00, 8, 94, 1, 98, 6, 20, 43
Bowdoin, 6, 93, 87, 8, 1410.000, 83, 16, 14, 68,  1.00, 10, 93, 6, 96, 14, 9, 50
Wellesley, 6, 93, 89, 12, 1390.000, 78, 31, 12, 69,  1.00, 8, 93, 14, 95, 10, 13, 46
Carleton, 8, 92, 88, 12, 1415.000, 78, 31, 16, 65,  1.00, 9, 97, 4, 97, 27, 2, 58
Haverford, 9, 91, 83, 2, 1400.000, 94, 25, 5, 79,  1.00, 8, 94, 6, 96, 15, 17, 44
Claremont McKenna, 10, 90, 85, 14, 1390.000, 71, 14, 4, 86,  2.00, 9, 94, 11, 96, 21, 20, 43
Vassar, 10, 90, 88, 14, 1395.000, 74, 23, 20, 68,  0.30, 8, 95, 6, 97, 13, 52, 33
Davidson, 12, 89, 83, 10, 1360.000, 82, 28, 15, 69,  0.00, 11, 99, 6, 96, 37, 7, 53
Harvey Mudd, 12, 89, 89, 1, 1500.000, 95, 22, 18, 67,  2.00, 8, 97, 21, 98, 18, 50, 33
US Naval Academy, 14, 88, 88, 46, 1270.000, 53, 7, 24, 61,  0.00, 9, 94, 25, 97, 1, 126, 21
Washington and Lee, 14, 88, 78, 9, 1395.000, 81, 18, 2, 74,  0.20, 9, 91, 14, 94, 25, 15, 46
Hamilton, 16, 87, 81, 17, 1390.000, 74, 27, 6, 74,  1.00, 9, 94, 21, 95, 23, 12, 47
Wesleyan, 17, 86, 85, 19, 1390.000, 66, 24, 48, 68,  5.00, 9, 97, 6, 96, 29, 11, 49
Colby, 18, 84, 81, 25, 1335.000, 61, 29, 20, 69,  2.00, 10, 93, 14, 95, 29, 25, 41
Colgate, 18, 84, 83, 19, 1350.000, 67, 29, 29, 64,  2.00, 9, 95, 14, 94, 32, 26, 40
Smith, 18, 84, 85, 35, 1320.000, 61, 45, 20, 66,  5.00, 9, 97, 35, 92, 21, 36, 36
Bates, 22, 83, 83, 28, 1340.000, 58, 27, 43, 67,  3.00, 10, 95, 14, 94, 35, 15, 46
Grinnell, 22, 83, 86, 32,   -1.000, 62, 51, 29, 62,  0.30, 9, 91, 28, 94, 27, 27, 40
Macalester, 24, 82, 83, 19, 1340.000, 70, 35, 35, 70,  1.00, 10, 89, 28, 94, 41, 30, 39
Bryn Mawr, 26, 81, 83, 39, 1315.000, 60, 46, 27, 74,  3.00, 8, 90, 47, 92, 23, 27, 40
Oberlin, 26, 81, 82, 19, 1370.000, 68, 30, 43, 70,  3.00, 9, 96, 32, 94, 37, 33, 38
